konsiltan	k-on-s-i-l-t-an
fraksyon	f-r-a-k-s-y-on
asasina	a-s-a-s-i-n-a
Chansi	Ch-an-s-i
Bonèl	B-o-n-è-l
preparatwa	p-r-e-p-a-r-a-t-w-a
Jezila	J-e-z-i-l-a
bibliyotekè	b-i-b-l-i-y-o-t-e-k-è
enstan	en-s-t-an
detoune	d-e-t-ou-n-e
idewològ	i-d-e-w-o-l-ò-g
eskimo	e-s-k-i-m-o
jenetisyen	j-e-n-e-t-i-s-y-en
Lafòsèt	L-a-f-ò-s-è-t
lestetik	l-e-s-t-e-t-i-k
dekwafe	d-e-k-w-a-f-e
ayeryèn	a-y-e-r-y-è-n
elektif	e-l-e-k-t-i-f
detire	d-e-t-i-r-e
tetyè	t-e-t-y-è
Klintonn	K-l-i-n-t-on-n
sosyopolitik	s-o-s-y-o-p-o-l-i-t-i-k
Masedwan	M-a-s-e-d-w-an
pwofon	p-w-o-f-on
jidfwi	j-i-d-f-w-i
atoufè	a-t-ou-f-è
trezò	t-r-e-z-ò
sèn	s-è-n
plonbaj	p-l-on-b-a-j
ponmtè	p-on-m-t-è
afime	a-f-i-m-e
krepiskil	k-r-e-p-i-s-k-i-l
gete	g-e-t-e
pousyè	p-ou-s-y-è
wot	w-o-t
senkwonize	s-en-k-w-o-n-i-z-e
kitis	k-i-t-i-s
balistrad	b-a-l-i-s-t-r-a-d
distenge	d-i-s-t-en-g-e
nannan	n-an-n-an
brekè	b-r-e-k-è
bat	b-a-t
echanj	e-ch-an-j
degraba	d-e-g-r-a-b-a
anvizaje	an-v-i-z-a-j-e
dezonè	d-e-z-o-n-è
lanavèt	l-a-n-a-v-è-t
fonksyonman	f-on-k-s-y-on-m-an
Neemi	N-e-e-m-i
konsole	k-on-s-o-l-e
kibik	k-i-b-i-k
kiltivatè	k-i-l-t-i-v-a-t-è
Keplè	K-e-p-l-è
zak	z-a-k
efreye	e-f-r-e-y-e
severite	s-e-v-e-r-i-t-e
Gantye	G-an-t-y-e
kalòj	k-a-l-ò-j
rityèl	r-i-t-y-è-l
ògàn	ò-g-à-n
kabonize	k-a-b-o-n-i-z-e
rejis	r-e-j-i-s
defann	d-e-f-an-n
wogatwa	w-o-g-a-t-w-a
gratifye	g-r-a-t-i-f-y-e
tim	t-i-m
podevi	p-o-d-e-v-i
estratigrafik	e-s-t-r-a-t-i-g-r-a-f-i-k
apèl	a-p-è-l
pèsyade	p-è-s-y-a-d-e
posterite	p-o-s-t-e-r-i-t-e
penalize	p-e-n-a-l-i-z-e
presantiman	p-r-e-s-an-t-i-m-an
envestisè	en-v-e-s-t-i-s-è
eskli	e-s-k-l-i
orizontal	o-r-i-z-on-t-a-l
bofis	b-o-f-i-s
depèch	d-e-p-è-ch
lendes	l-en-d-e-s
manyak	m-a-n-y-a-k
mawonnaj	m-a-w-on-n-a-j
andikape	an-d-i-k-a-p-e
transkripsyon	t-r-an-s-k-r-i-p-s-y-on
malsite	m-a-l-s-i-t-e
akeyi	a-k-e-y-i
daktilografi	d-a-k-t-i-l-o-g-r-a-f-i
politisyèn	p-o-l-i-t-i-s-y-è-n
repetisyon	r-e-p-e-t-i-s-y-on
galaksi	g-a-l-a-k-s-i
poupla	p-ou-p-l-a
Latoudegad	L-a-t-ou-d-e-g-a-d
oditoryòm	o-d-i-t-o-r-y-ò-m
twopikal	t-w-o-p-i-k-a-l
vyen	v-y-en
Lendò	L-en-d-ò
entansyon	en-t-an-s-y-on
blasfème	b-l-a-s-f-è-m-e
kourikoulòm	k-ou-r-i-k-ou-l-ò-m
aviyatè	a-v-i-y-a-t-è
lèd	l-è-d
la	l-a
grabday	g-r-a-b-d-a-y
aransò	a-r-an-s-ò
Fòd	F-ò-d
krich	k-r-i-ch
pòtchay	p-ò-t-ch-a-y
Bouz	B-ou-z
saj	s-a-j
anchante	an-ch-an-t-e
dis	d-i-s
Raboto	R-a-b-o-t-o
cheval	ch-e-v-a-l
basès	b-a-s-è-s
akseleratè	a-k-s-e-l-e-r-a-t-è
sone	s-o-n-e
taksi	t-a-k-s-i
kominote	k-o-m-i-n-o-t-e
piki	p-i-k-i
dengonn	d-en-g-on-n
kreyatè	k-r-e-y-a-t-è
biwokrasi	b-i-w-o-k-r-a-s-i
ay	a-y
lapè	l-a-p-è
Dezafi	D-e-z-a-f-i
Itali	I-t-a-l-i
chokola	ch-o-k-o-l-a
koutay	k-ou-t-a-y
matini	m-a-t-i-n-i
pòmdetè	p-ò-m-d-e-t-è
trant	t-r-an-t
radikal	r-a-d-i-k-a-l
pabon	p-a-b-on
atwòs	a-t-w-ò-s
mitan	m-i-t-an
pis	p-i-s
grenn	g-r-en-n
Mongoli	M-on-g-o-l-i
safrite	s-a-f-r-i-t-e
disnèf	d-i-s-n-è-f
ateste	a-t-e-s-t-e
kontwòlè	k-on-t-w-ò-l-è
deprime	d-e-p-r-i-m-e
Soulouk	S-ou-l-ou-k
toufe	t-ou-f-e
koutmaltaye	k-ou-t-m-a-l-t-a-y-e
latinoameriken	l-a-t-i-n-o-a-m-e-r-i-k-en
flègèdè	f-l-è-g-è-d-è
piman	p-i-m-an
Vewòn	V-e-w-ò-n
abitan	a-b-i-t-an
Aleksi	A-l-e-k-s-i
flannen	f-l-an-n-en
divèjans	d-i-v-è-j-an-s
parasolèy	p-a-r-a-s-o-l-è-y
egare	e-g-a-r-e
libanè	l-i-b-a-n-è
kondisyonèl	k-on-d-i-s-y-o-n-è-l
kopere	k-o-p-e-r-e
boulgogo	b-ou-l-g-o-g-o
plim	p-l-i-m
politik	p-o-l-i-t-i-k
mayetik	m-a-y-e-t-i-k
solis	s-o-l-i-s
efezyen	e-f-e-z-y-en
envestige	en-v-e-s-t-i-g-e
ditò	d-i-t-ò
Valanzyela	V-a-l-an-z-y-e-l-a
endefini	en-d-e-f-i-n-i
konbyen	k-on-b-y-en
sendika	s-en-d-i-k-a
delenkans	d-e-l-en-k-an-s
fanm	f-an-m
dominkèn	d-o-m-i-n-k-è-n
estansyon	e-s-t-an-s-y-on
veritab	v-e-r-i-t-a-b
swenyay	s-w-en-y-a-y
dyaman	d-y-a-m-an
eksklisivman	e-k-s-k-l-i-s-i-v-m-an
lantman	l-an-t-m-an
boufalo	b-ou-f-a-l-o
talan	t-a-l-an
twou	t-w-ou
lesegrennen	l-e-s-e-g-r-en-n-en
kolaborasyon	k-o-l-a-b-o-r-a-s-y-on
uityèm	ui-t-y-è-m
amerik	a-m-e-r-i-k
Regala	R-e-g-a-l-a
Ginode	G-i-n-o-d-e
ganmèl	g-an-m-è-l
dout	d-ou-t
vizitèz	v-i-z-i-t-è-z
kolosyen	k-o-l-o-s-y-en
ravèt	r-a-v-è-t
fransè	f-r-an-s-è
lari	l-a-r-i
doutans	d-ou-t-an-s
eksplore	e-k-s-p-l-o-r-e
konèt	k-o-n-è-t
omoseksyèl	o-m-o-s-e-k-s-y-è-l
fanmsay	f-an-m-s-a-y
anka	an-k-a
finansye	f-i-n-an-s-y-e
fonse	f-on-s-e
siyifikasyon	s-i-y-i-f-i-k-a-s-y-on
fiti	f-i-t-i
kage	k-a-g-e
Batravil	B-a-t-r-a-v-i-l
Bwochèt	B-w-o-ch-è-t
epanye	e-p-a-n-y-e
esnòb	e-s-n-ò-b
ansèyman	an-s-è-y-m-an
an	an
Mez	M-e-z
feyodal	f-e-y-o-d-a-l
asyeje	a-s-y-e-j-e
diskrimine	d-i-s-k-r-i-m-i-n-e
Mawouj	M-a-w-ou-j
lacho	l-a-ch-o
privatizasyon	p-r-i-v-a-t-i-z-a-s-y-on
lame	l-a-m-e
edike	e-d-i-k-e
alèji	a-l-è-j-i
onnèt	on-n-è-t
rapèl	r-a-p-è-l
vid	v-i-d
idolate	i-d-o-l-a-t-e
pij	p-i-j
daktilo	d-a-k-t-i-l-o
edite	e-d-i-t-e
koripsyon	k-o-r-i-p-s-y-on
Mari	M-a-r-i
aplike	a-p-l-i-k-e
patata	p-a-t-a-t-a
divizè	d-i-v-i-z-è
paralitik	p-a-r-a-l-i-t-i-k
adwat	a-d-w-a-t
malta	m-a-l-t-a
zepon	z-e-p-on
dram	d-r-a-m
fimye	f-i-m-y-e
retransmisyon	r-e-t-r-an-s-m-i-s-y-on
tablèt	t-a-b-l-è-t
manke	m-an-k-e
Minesota	M-i-n-e-s-o-t-a
vagabon	v-a-g-a-b-on
zaviwon	z-a-v-i-w-on
dechifre	d-e-ch-i-f-r-e
delabreman	d-e-l-a-b-r-e-m-an
Dezilme	D-e-z-i-l-m-e
oranj	o-r-an-j
entim	en-t-i-m
demonstrasyon	d-e-m-on-s-t-r-a-s-y-on
graspiye	g-r-a-s-p-i-y-e
resò	r-e-s-ò
miskilè	m-i-s-k-i-l-è
otè	o-t-è
konpòtmantal	k-on-p-ò-t-m-an-t-a-l
pwente	p-w-en-t-e
parenn	p-a-r-en-n
aji	a-j-i
letid	l-e-t-i-d
jenetikman	j-e-n-e-t-i-k-m-an
enprimè	en-p-r-i-m-è
avi	a-v-i
asyèt	a-s-y-è-t
mèch	m-è-ch
oblije	o-b-l-i-j-e
gidon	g-i-d-on
pwofile	p-w-o-f-i-l-e
pwoblèm	p-w-o-b-l-è-m
Fenlandè	F-en-l-an-d-è
sourit	s-ou-r-i-t
ofsye	o-f-s-y-e
kangrennen	k-an-g-r-en-n-en
dopan	d-o-p-an
eleksyon	e-l-e-k-s-y-on
Granbasen	G-r-an-b-a-s-en
melankoli	m-e-l-an-k-o-l-i
kakarèl	k-a-k-a-r-è-l
pechè	p-e-ch-è
amonika	a-m-o-n-i-k-a
pong	p-o-ng
epòl	e-p-ò-l
bato	b-a-t-o
santans	s-an-t-an-s
konfrè	k-on-f-r-è
konsantre	k-on-s-an-t-r-e
sabotaj	s-a-b-o-t-a-j
anbasad	an-b-a-s-a-d
egoyis	e-g-o-y-i-s
twi	t-w-i
lè	l-è
afwontman	a-f-w-on-t-m-an
dirabilite	d-i-r-a-b-i-l-i-t-e
joure	j-ou-r-e
bebe	b-e-b-e
sentiwon	s-en-t-i-w-on
lawon	l-a-w-on
pipirit	p-i-p-i-r-i-t
operasyonèl	o-p-e-r-a-s-y-o-n-è-l
kidnape	k-i-d-n-a-p-e
fondatris	f-on-d-a-t-r-i-s
machann	m-a-ch-an-n
Kilowat	K-i-l-o-w-a-t
kochèt	k-o-ch-è-t
chavire	ch-a-v-i-r-e
diskite	d-i-s-k-i-t-e
avanjou	a-v-an-j-ou
Fonfò	F-on-f-ò
rekò	r-e-k-ò
triye	t-r-i-y-e
bwatye	b-w-a-t-y-e
reprimande	r-e-p-r-i-m-an-d-e
lakizin	l-a-k-i-z-i-n
lanfè	l-an-f-è
revyen	r-e-v-y-en
entwodiksyon	en-t-w-o-d-i-k-s-y-on
anbyans	an-b-y-an-s
latranblad	l-a-t-r-an-b-l-a-d
ewo	e-w-o
bisektil	b-i-s-e-k-t-i-l
nonmen	n-on-m-en
longè	l-on-g-è
Asdòd	A-s-d-ò-d
etranje	e-t-r-an-j-e
nas	n-a-s
Neftali	N-e-f-t-a-l-i
pwogram	p-w-o-g-r-a-m
panzou	p-an-z-ou
vèse	v-è-s-e
kolaborasyonis	k-o-l-a-b-o-r-a-s-y-o-n-i-s
vach	v-a-ch
chofaj	ch-o-f-a-j
kondwi	k-on-d-w-i
atousa	a-t-ou-s-a
ten	t-en
dede	d-e-d-e
kwi	k-w-i
Bèna	B-è-n-a
kabinaj	k-a-b-i-n-a-j
maryonnèt	m-a-r-y-on-n-è-t
chouk	ch-ou-k
basen	b-a-s-en
fakiltatif	f-a-k-i-l-t-a-t-i-f
ekspòtasyon	e-k-s-p-ò-t-a-s-y-on
Solana	S-o-l-a-n-a
livrè	l-i-v-r-è
paramedik	p-a-r-a-m-e-d-i-k
lapenn	l-a-p-en-n
pwopagann	p-w-o-p-a-g-an-n
Amagedon	A-m-a-g-e-d-on
kamyonnèt	k-a-m-y-on-n-è-t
cheve	ch-e-v-e
pwofesi	p-w-o-f-e-s-i
poudi	p-ou-d-i
sikatris	s-i-k-a-t-r-i-s
kowòt	k-o-w-ò-t
kouti	k-ou-t-i
mimi	m-i-m-i
chiklèt	ch-i-k-l-è-t
tèmine	t-è-m-i-n-e
jenital	j-e-n-i-t-a-l
kenzèdtan	k-en-z-è-d-t-an
outraj	ou-t-r-a-j
mamote	m-a-m-o-t-e
egzonere	e-g-z-o-n-e-r-e
lanmorèz	l-an-m-o-r-è-z
timè	t-i-m-è
avètisman	a-v-è-t-i-s-m-an
zèpòl	z-è-p-ò-l
leksikografi	l-e-k-s-i-k-o-g-r-a-f-i
floridyen	f-l-o-r-i-d-y-en
koutiryèz	k-ou-t-i-r-y-è-z
glòs	g-l-ò-s
aplikab	a-p-l-i-k-a-b
transparan	t-r-an-s-p-a-r-an
nasyonalman	n-a-s-y-o-n-a-l-m-an
distribisyon	d-i-s-t-r-i-b-i-s-y-on
chosèt	ch-o-s-è-t
anpwazonè	an-p-w-a-z-o-n-è
louwe	l-ou-w-e
Oseyani	O-s-e-y-a-n-i
emosyonèl	e-m-o-s-y-o-n-è-l
filaman	f-i-l-a-m-an
jenere	j-e-n-e-r-e
ekspedye	e-k-s-p-e-d-y-e
idravyon	i-d-r-a-v-y-on
kolye	k-o-l-y-e
lineyè	l-i-n-e-y-è
kòmando	k-ò-m-an-d-o
vanje	v-an-j-e
sondaj	s-on-d-a-j
lagon	l-a-g-on
sede	s-e-d-e
Sidon	S-i-d-on
fratènize	f-r-a-t-è-n-i-z-e
Telisma	T-e-l-i-s-m-a
Youston	Y-ou-s-t-on
vokal	v-o-k-a-l
pansman	p-an-s-m-an
disponibilite	d-i-s-p-o-n-i-b-i-l-i-t-e
Tèmilis	T-è-m-i-l-i-s
antrene	an-t-r-e-n-e
akasan	a-k-a-s-an
retabli	r-e-t-a-b-l-i
epzanp	e-p-z-an-p
taktil	t-a-k-t-i-l
repati	r-e-p-a-t-i
mwè	m-w-è
Langomye	L-an-g-o-m-y-e
asiz	a-s-i-z
wonga	w-on-g-a
nyès	n-y-è-s
chajman	ch-a-j-m-an
posib	p-o-s-i-b
manyen	m-an-y-en
inivèsalite	i-n-i-v-è-s-a-l-i-t-e
patriyotis	p-a-t-r-i-y-o-t-i-s
pyonnye	p-y-on-n-y-e
Larisi	L-a-r-i-s-i
anbatè	an-b-a-t-è
espiyonay	e-s-p-i-y-o-n-a-y
kwasans	k-w-a-s-an-s
avyon	a-v-y-on
Kafou	K-a-f-ou
lengwistik	l-en-g-w-i-s-t-i-k
enfrastriki	en-f-r-a-s-t-r-i-k-i
Zakari	Z-a-k-a-r-i
esklewoz	e-s-k-l-e-w-o-z
Taliban	T-a-l-i-b-an
vre	v-r-e
mye	m-y-e
malpouwont	m-a-l-p-ou-w-on-t
Ezekyas	E-z-e-k-y-a-s
lòn	l-ò-n
matirize	m-a-t-i-r-i-z-e
etnolengwis	e-t-n-o-l-en-g-w-i-s
dejne	d-e-j-n-e
kanalizasyon	k-a-n-a-l-i-z-a-s-y-on
latino	l-a-t-i-n-o
kreyasyon	k-r-e-y-a-s-y-on
relansman	r-e-l-an-s-m-an
prevantif	p-r-e-v-an-t-i-f
ansiklik	an-s-i-k-l-i-k
konkli	k-on-k-l-i
konfidansyalite	k-on-f-i-d-an-s-y-a-l-i-t-e
lakonesans	l-a-k-o-n-e-s-an-s
fiyèt	f-i-y-è-t
misil	m-i-s-i-l
pwogresis	p-w-o-g-r-e-s-i-s
transpòtab	t-r-an-s-p-ò-t-a-b
janklodis	j-an-k-l-o-d-i-s
lisansye	l-i-s-an-s-y-e
lesentespri	l-e-s-en-t-e-s-p-r-i
separasyon	s-e-p-a-r-a-s-y-on
modi	m-o-d-i
ribeyòl	r-i-b-e-y-ò-l
moleste	m-o-l-e-s-t-e
trann	t-r-an-n
babay	b-a-b-a-y
pèn	p-è-n
kontwole	k-on-t-w-o-l-e
dye	d-y-e
egzojèn	e-g-z-o-j-è-n
siryen	s-i-r-y-en
desène	d-e-s-è-n-e
matirite	m-a-t-i-r-i-t-e
katran	k-a-t-r-an
rad	r-a-d
lopsyon	l-o-p-s-y-on
panik	p-a-n-i-k
Kanperen	K-an-p-e-r-en
deboutonnen	d-e-b-ou-t-on-n-en
tab	t-a-b
trase	t-r-a-s-e
pavo	p-a-v-o
sekouri	s-e-k-ou-r-i
divèti	d-i-v-è-t-i
izaj	i-z-a-j
kontrebasis	k-on-t-r-e-b-a-s-i-s
ekonomik	e-k-o-n-o-m-i-k
prezan	p-r-e-z-an
ekstra	e-k-s-t-r-a
anpechè	an-p-e-ch-è
imino	i-m-i-n-o
resèvi	r-e-s-è-v-i
tripòt	t-r-i-p-ò-t
wosinyòl	w-o-s-i-n-y-ò-l
deklarasyon	d-e-k-l-a-r-a-s-y-on
lajan	l-a-j-an
okazyonèl	o-k-a-z-y-o-n-è-l
sèlman	s-è-l-m-an
Renaldo	R-e-n-a-l-d-o
atezyen	a-t-e-z-y-en
Sègo	S-è-g-o
prevantiv	p-r-e-v-an-t-i-v
debitan	d-e-b-i-t-an
patikilarite	p-a-t-i-k-i-l-a-r-i-t-e
detrès	d-e-t-r-è-s
charye	ch-a-r-y-e
Lisyen	L-i-s-y-en
mesyezedam	m-e-s-y-e-z-e-d-a-m
pèsonalizasyon	p-è-s-o-n-a-l-i-z-a-s-y-on
ibrid	i-b-r-i-d
Adama	A-d-a-m-a
paswa	p-a-s-w-a
selilè	s-e-l-i-l-è
preche	p-r-e-ch-e
kare	k-a-r-e
patizan	p-a-t-i-z-an
Wanamint	W-a-n-a-m-i-n-t
galopay	g-a-l-o-p-a-y
vètebre	v-è-t-e-b-r-e
manda	m-an-d-a
ouvryèz	ou-v-r-y-è-z
dedwi	d-e-d-w-i
Mona	M-o-n-a
Brini	B-r-i-n-i
lalo	l-a-l-o
gwògmann	g-w-ò-g-m-an-n
depandan	d-e-p-an-d-an
Abèdnego	A-b-è-d-n-e-g-o
achte	a-ch-t-e
tòn	t-ò-n
enklizyon	en-k-l-i-z-y-on
omaj	o-m-a-j
konpyoutè	k-on-p-y-ou-t-è
lwès	l-w-è-s
Kazakstan	K-a-z-a-k-s-t-an
oprime	o-p-r-i-m-e
disète	d-i-s-è-t-e
ereksyon	e-r-e-k-s-y-on
jwayo	j-w-a-y-o
retou	r-e-t-ou
fwenk	f-w-en-k
esklav	e-s-k-l-a-v
wèb	w-è-b
jenotopik	j-e-n-o-t-o-p-i-k
Wo	W-o
demagojik	d-e-m-a-g-o-j-i-k
labouyi	l-a-b-ou-y-i
Paloma	P-a-l-o-m-a
enpo	en-p-o
kontwovese	k-on-t-w-o-v-e-s-e
oubyen	ou-b-y-en
senkant	s-en-k-an-t
syèj	s-y-è-j
ri	r-i
estim	e-s-t-i-m
twoubadou	t-w-ou-b-a-d-ou
kòporèl	k-ò-p-o-r-è-l
jiris	j-i-r-i-s
lit	l-i-t
ensiste	en-s-i-s-t-e
devaste	d-e-v-a-s-t-e
defo	d-e-f-o
Maryàn	M-a-r-y-à-n
loraj	l-o-r-a-j
koperariv	k-o-p-e-r-a-r-i-v
konsènan	k-on-s-è-n-an
teras	t-e-r-a-s
anvayisè	an-v-a-y-i-s-è
vizit	v-i-z-i-t
trelè	t-r-e-l-è
kaptive	k-a-p-t-i-v-e
Kastwo	K-a-s-t-w-o
siperyorite	s-i-p-e-r-y-o-r-i-t-e
transaksyon	t-r-an-s-a-k-s-y-on
desizif	d-e-s-i-z-i-f
malveyans	m-a-l-v-e-y-an-s
ekoulman	e-k-ou-l-m-an
legalman	l-e-g-a-l-m-an
Anelid	A-n-e-l-i-d
swisid	s-w-i-s-i-d
pijama	p-i-j-a-m-a
detektif	d-e-t-e-k-t-i-f
brilè	b-r-i-l-è
deklanche	d-e-k-l-an-ch-e
lefètke	l-e-f-è-t-k-e
posteryè	p-o-s-t-e-r-y-è
kristal	k-r-i-s-t-a-l
chòchòt	ch-ò-ch-ò-t
esoufle	e-s-ou-f-l-e
laviktwa	l-a-v-i-k-t-w-a
elektè	e-l-e-k-t-è
prennsès	p-r-en-n-s-è-s
souri	s-ou-r-i
Seyoul	S-e-y-ou-l
majoritèman	m-a-j-o-r-i-t-è-m-an
sanmil	s-an-m-i-l
egzile	e-g-z-i-l-e
bere	b-e-r-e
defisi	d-e-f-i-s-i
evakasyon	e-v-a-k-a-s-y-on
bouchon	b-ou-ch-on
Eklezyas	E-k-l-e-z-y-a-s
evantay	e-v-an-t-a-y
fawès	f-a-w-è-s
rekòdè	r-e-k-ò-d-è
sanatoryòm	s-a-n-a-t-o-r-y-ò-m
predatè	p-r-e-d-a-t-è
jewopolitikman	j-e-w-o-p-o-l-i-t-i-k-m-an
konsève	k-on-s-è-v-e
motivasyon	m-o-t-i-v-a-s-y-on
Boliva	B-o-l-i-v-a
alyans	a-l-y-an-s
kolonèl	k-o-l-o-n-è-l
Aljeri	A-l-j-e-r-i
sale	s-a-l-e
laplèn	l-a-p-l-è-n
anchènman	an-ch-è-n-m-an
Ayiti	A-y-i-t-i
ekspansyon	e-k-s-p-an-s-y-on
kòrespondan	k-ò-r-e-s-p-on-d-an
metrès	m-e-t-r-è-s
mèg	m-è-g
delokalize	d-e-l-o-k-a-l-i-z-e
sèk	s-è-k
amandman	a-m-an-d-m-an
lanp	l-an-p
demantele	d-e-m-an-t-e-l-e
kèlkanswa	k-è-l-k-an-s-w-a
pwomennen	p-w-o-m-en-n-en
elektwomanyetik	e-l-e-k-t-w-o-m-a-n-y-e-t-i-k
istwadela	i-s-t-w-a-d-e-l-a
estilis	e-s-t-i-l-i-s
revni	r-e-v-n-i
may	m-a-y
gwouv	g-w-ou-v
fouche	f-ou-ch-e
visye	v-i-s-y-e
Lisena	L-i-s-e-n-a
siyifikatif	s-i-y-i-f-i-k-a-t-i-f
lapawoli	l-a-p-a-w-o-l-i
gridap	g-r-i-d-a-p
ansyennte	an-s-y-en-n-t-e
anbouteyaj	an-b-ou-t-e-y-a-j
wosiyòl	w-o-s-i-y-ò-l
tranp	t-r-an-p
bakteryèn	b-a-k-t-e-r-y-è-n
angl	an-g-l
deteryòm	d-e-t-e-r-y-ò-m
sanfwa	s-an-f-w-a
lakranp	l-a-k-r-an-p
griyen	g-r-i-y-en
chenpanze	ch-en-p-an-z-e
repozwa	r-e-p-o-z-w-a
tèmik	t-è-m-i-k
Dòmeyis	D-ò-m-e-y-i-s
veye	v-e-y-e
regrèt	r-e-g-r-è-t
ventèn	v-en-t-è-n
glasi	g-l-a-s-i
ekite	e-k-i-t-e
Rimpèl	R-i-m-p-è-l
enperatris	en-p-e-r-a-t-r-i-s
avilisman	a-v-i-l-i-s-m-an
plantè	p-l-an-t-è
byopsi	b-y-o-p-s-i
parenaj	p-a-r-e-n-a-j
lanbisyon	l-an-b-i-s-y-on
semans	s-e-m-an-s
imigrasyon	i-m-i-g-r-a-s-y-on
andezakò	an-d-e-z-a-k-ò
akademi	a-k-a-d-e-m-i
nikleyosid	n-i-k-l-e-y-o-s-i-d
lekòman	l-e-k-ò-m-an
ensansibilite	en-s-an-s-i-b-i-l-i-t-e
kondiktivite	k-on-d-i-k-t-i-v-i-t-e
onnè	on-n-è
andèy	an-d-è-y
diven	d-i-v-en
amabilite	a-m-a-b-i-l-i-t-e
konpresè	k-on-p-r-e-s-è
pave	p-a-v-e
Elyaza	E-l-y-a-z-a
brid	b-r-i-d
brigan	b-r-i-g-an
ajoune	a-j-ou-n-e
deden	d-e-d-en
pèyman	p-è-y-m-an
etwale	e-t-w-a-l-e
reyaksyonè	r-e-y-a-k-s-y-o-n-è
pyafe	p-y-a-f-e
sonn	s-on-n
netralite	n-e-t-r-a-l-i-t-e
solisite	s-o-l-i-s-i-t-e
klimatik	k-l-i-m-a-t-i-k
elaji	e-l-a-j-i
dizan	d-i-z-an
anrejistreman	an-r-e-j-i-s-t-r-e-m-an
Plasid	P-l-a-s-i-d
totalman	t-o-t-a-l-m-an
estati	e-s-t-a-t-i
madi	m-a-d-i
Yoland	Y-o-l-an-d
pikèt	p-i-k-è-t
Debora	D-e-b-o-r-a
espesifk	e-s-p-e-s-i-f-k
swete	s-w-e-t-e
soulajman	s-ou-l-a-j-m-an
kontrè	k-on-t-r-è
trèy	t-r-è-y
fennen	f-en-n-en
bwòs	b-w-ò-s
foswayè	f-o-s-w-a-y-è
jetrèt	j-e-t-r-è-t
atandan	a-t-an-d-an
istwa	i-s-t-w-a
Penelas	P-e-n-e-l-a-s
krantnèf	k-r-an-t-n-è-f
peche	p-e-ch-e
ivwaryen	i-v-w-a-r-y-en
Bosni	B-o-s-n-i
kochma	k-o-ch-m-a
miltinasyonal	m-i-l-t-i-n-a-s-y-o-n-a-l
lachte	l-a-ch-t-e
poliklinik	p-o-l-i-k-l-i-n-i-k
anverite	an-v-e-r-i-t-e
panse	p-an-s-e
Istanboul	I-s-t-an-b-ou-l
dirèk	d-i-r-è-k
sentetik	s-en-t-e-t-i-k
modènize	m-o-d-è-n-i-z-e
emoglobin	e-m-o-g-l-o-b-i-n
ezitan	e-z-i-t-an
ideyològ	i-d-e-y-o-l-ò-g
Zamò	Z-a-m-ò
federe	f-e-d-e-r-e
pasyone	p-a-s-y-o-n-e
koutcha	k-ou-t-ch-a
trè	t-r-è
kalifoni	k-a-l-i-f-o-n-i
lege	l-e-g-e
ratyè	r-a-t-y-è
grave	g-r-a-v-e
bijou	b-i-j-ou
sosyete	s-o-s-y-e-t-e
kav	k-a-v
konpetitè	k-on-p-e-t-i-t-è
Kanpèch	K-an-p-è-ch
achete	a-ch-e-t-e
dramatij	d-r-a-m-a-t-i-j
ijans	i-j-an-s
tolerans	t-o-l-e-r-an-s
metsiyen	m-e-t-s-i-y-en
relachman	r-e-l-a-ch-m-an
dimonn	d-i-m-on-n
rèk	r-è-k
jakase	j-a-k-a-s-e
meteyolojik	m-e-t-e-y-o-l-o-j-i-k
kèlkilanswa	k-è-l-k-i-l-an-s-w-a
pòvrete	p-ò-v-r-e-t-e
pliye	p-l-i-y-e
douzyèm	d-ou-z-y-è-m
elatrye	e-l-a-t-r-y-e
sibèkafe	s-i-b-è-k-a-f-e
konpleksite	k-on-p-l-e-k-s-i-t-e
jis	j-i-s
etanch	e-t-an-ch
plafon	p-l-a-f-on
pantan	p-an-t-an
rivay	r-i-v-a-y
debleye	d-e-b-l-e-y-e
dizon	d-i-z-on
evitab	e-v-i-t-a-b
rebwazman	r-e-b-w-a-z-m-an
finansman	f-i-n-an-s-m-an
abwa	a-b-w-a
Zoranje	Z-o-r-an-j-e
awona	a-w-o-n-a
payen	p-a-y-en
dyaloge	d-y-a-l-o-g-e
desideman	d-e-s-i-d-e-m-an
bibliyotèk	b-i-b-l-i-y-o-t-è-k
pa	p-a
sikolengwistik	s-i-k-o-l-en-g-w-i-s-t-i-k
estrèm	e-s-t-r-è-m
sedwizan	s-e-d-w-i-z-an
sonj	s-on-j
neve	n-e-v-e
misye	m-i-s-y-e
lagranwout	l-a-g-r-an-w-ou-t
leksè	l-e-k-s-è
Krisyan	K-r-i-s-y-an
eseyis	e-s-e-y-i-s
lanbi	l-an-b-i
lògèy	l-ò-g-è-y
fondè	f-on-d-è
estènen	e-s-t-è-n-en
fen	f-en
obsèvans	o-b-s-è-v-an-s
plwaye	p-l-w-a-y-e
kokoye	k-o-k-o-y-e
siwo	s-i-w-o
Kolimon	K-o-l-i-m-on
pik	p-i-k
kòrèk	k-ò-r-è-k
eskò	e-s-k-ò
libreman	l-i-b-r-e-m-an
deplase	d-e-p-l-a-s-e
ayisyen	a-y-i-s-y-en
pwoteyin	p-w-o-t-e-y-i-n
panameriken	p-a-n-a-m-e-r-i-k-en
Lizyas	L-i-z-y-a-s
Jeyova	J-e-y-o-v-a
afimatif	a-f-i-m-a-t-i-f
masonnen	m-a-s-on-n-en
